GEOHASH,LAT1,LONG1,LAT2,LONG2,LAT3,LONG3,LAT4,LONG4,COUNT
dny87x,38.0511474609,-80.6945800781,38.0511474609,-80.7055664062,38.056640625,-80.6945800781,38.056640625,-80.7055664062,1
dny921,38.1939697266,-80.8483886719,38.1939697266,-80.859375,38.1994628906,-80.8483886719,38.1994628906,-80.859375,1
dny92h,38.2104492188,-80.8483886719,38.2104492188,-80.859375,38.2159423828,-80.8483886719,38.2159423828,-80.859375,1
dny98j,38.2598876953,-80.8483886719,38.2598876953,-80.859375,38.2653808594,-80.8483886719,38.2653808594,-80.859375,1
dny9b8,38.2763671875,-80.8264160156,38.2763671875,-80.8374023438,38.2818603516,-80.8264160156,38.2818603516,-80.8374023438,1
dny9bw,38.3093261719,-80.8264160156,38.3093261719,-80.8374023438,38.3148193359,-80.8264160156,38.3148193359,-80.8374023438,1
dny9kw,38.2214355469,-80.6506347656,38.2214355469,-80.6616210938,38.2269287109,-80.6506347656,38.2269287109,-80.6616210938,1
dnyd9d,38.4191894531,-80.7824707031,38.4191894531,-80.7934570312,38.4246826172,-80.7824707031,38.4246826172,-80.7934570312,1
dnynhx,39.0618896484,-81.3537597656,39.0618896484,-81.3647460938,39.0673828125,-81.3537597656,39.0673828125,-81.3647460938,1
dnyp2h,39.2651367188,-81.5515136719,39.2651367188,-81.5625,39.2706298828,-81.5515136719,39.2706298828,-81.5625,1
dnyvfs,39.0014648438,-80.3869628906,39.0014648438,-80.3979492188,39.0069580078,-80.3869628906,39.0069580078,-80.3979492188,1
dnytx3,38.9410400391,-80.5297851562,38.9410400391,-80.5407714844,38.9465332031,-80.5297851562,38.9465332031,-80.5407714844,1
dnys53,38.6773681641,-80.7055664062,38.6773681641,-80.7165527344,38.6828613281,-80.7055664062,38.6828613281,-80.7165527344,1
dnysh5,38.6883544922,-80.6726074219,38.6883544922,-80.68359375,38.6938476562,-80.6726074219,38.6938476562,-80.68359375,1
dnyshk,38.6938476562,-80.6616210938,38.6938476562,-80.6726074219,38.6993408203,-80.6616210938,38.6993408203,-80.6726074219,1
dnysk3,38.7213134766,-80.6616210938,38.7213134766,-80.6726074219,38.7268066406,-80.6616210938,38.7268066406,-80.6726074219,1
dnysm1,38.7213134766,-80.6286621094,38.7213134766,-80.6396484375,38.7268066406,-80.6286621094,38.7268066406,-80.6396484375,1
dnysr8,38.7158203125,-80.5187988281,38.7158203125,-80.5297851562,38.7213134766,-80.5187988281,38.7213134766,-80.5297851562,1
dnyssq,38.7927246094,-80.6616210938,38.7927246094,-80.6726074219,38.7982177734,-80.6616210938,38.7982177734,-80.6726074219,1
dnytgz,39.0179443359,-80.68359375,39.0179443359,-80.6945800781,39.0234375,-80.68359375,39.0234375,-80.6945800781,1
dnytjh,38.8696289062,-80.6286621094,38.8696289062,-80.6396484375,38.8751220703,-80.6286621094,38.8751220703,-80.6396484375,1
dnytrx,38.9300537109,-80.5187988281,38.9300537109,-80.5297851562,38.935546875,-80.5187988281,38.935546875,-80.5297851562,1
dnytxz,38.9739990234,-80.5078125,38.9739990234,-80.5187988281,38.9794921875,-80.5078125,38.9794921875,-80.5187988281,1
dnyrrm,39.2706298828,-80.8813476562,39.2706298828,-80.8923339844,39.2761230469,-80.8813476562,39.2761230469,-80.8923339844,1
dnyu84,38.7707519531,-80.4968261719,38.7707519531,-80.5078125,38.7762451172,-80.4968261719,38.7762451172,-80.5078125,1
